car_num,distance,distance_cum,speed_av,speed_max,operating_time,stop_num,stop_time,stop_rate,drive_time,rpm_max,rpm_av
1111,299,431844,17.82,57,60419,832,19100,31.61,41319,1620,924
1112,286,402323,18.26,62,56393,818,17071,30.27,39322,1592,931
1113,311,443480,17.96,61,62325,834,18339,29.42,43986,1606,926
1114,215,111809,14.08,48,54970,754,16457,29.94,38513,1780,798
1115,250,230163,16.17,57,55673,697,16219,29.13,39454,1720,780
1116,266,428920,16.82,62,56933,713,15464,27.16,41469,1709,820
1117,262,432548,16.02,57,58880,662,16305,27.69,42575,1822,785
1118,248,226343,16.83,55,53056,711,13889,26.18,39167,1680,804
1119,249,382584,16.31,57,54976,685,15533,28.25,39443,2100,733
1120,236,320108,15.57,64,54584,809,15750,28.85,38834,1700,874
1121,238,298114,16.09,57,53264,831,13745,25.81,39519,1840,887
1122,237,355274,15.84,56,53855,860,14286,26.53,39569,1820,889
1123,195,297215,16.24,60,43230,620,11172,25.84,32058,1814,865
1124,242,336170,15.74,60,55353,858,16009,28.92,39344,1640,866
1125,273,179103,16.46,65,59714,887,17619,29.51,42095,1576,867
1126,271,301322,14.37,58,67910,915,22722,33.46,45188,1540,614
1127,283,94255,16.3,55,62492,887,19443,31.11,43049,1602,671
1128,249,299496,13.88,54,64597,864,24116,37.33,40481,1440,634
1129,295,296636,17.05,61,62283,872,18058,28.99,44225,1647,855
1130,245,142107,15.07,59,58518,909,16487,28.17,42031,1580,830
1131,225,338686,14.1,60,57458,741,19541,34.01,37917,1520,637
1132,152,342573,13,59,42103,545,16322,38.77,25781,1660,614
1133,293,257954,16.65,62,63341,933,21520,33.97,41821,1602,908
1134,226,143905,15.25,57,53354,822,16678,31.26,36676,1651,842
1135,225,343240,13.86,56,58435,746,19050,32.6,39385,1400,624
1136,226,338123,13.49,56,60290,825,21280,35.3,39010,1380,593
1137,289,119460,16.42,57,63363,850,20079,31.69,43284,1369,646
1138,289,121104,16.42,59,63363,866,19863,31.35,43500,2399,702
1139,225,9747,14.78,60,54801,849,16101,29.38,38700,1618,654
1140,225,11296,14.97,56,54121,860,16468,30.43,37653,1393,643
1141,220,46377,14.68,55,53962,839,15232,28.23,38730,1399,654
1142,226,4263,15.11,55,53835,842,16313,30.3,37522,2383,657
1143,215,48972,15.4,58,50245,703,12970,25.81,37275,1580,681
1144,231,304649,13.45,56,61851,780,21822,35.28,40029,1320,581
1145,187,123620,16.67,58,40377,566,14296,35.41,26081,1855,813
1146,225,43089,15.05,54,53814,784,14198,26.38,39616,1518,657
1147,243,54007,15.93,55,54928,692,15226,27.72,39702,1463,636
1148,310,51368,17.62,61,63355,840,18406,29.05,44949,1780,923
1149,310,445963,18.21,59,61299,784,16298,26.59,45001,1640,932
1150,248,481734,15.85,59,56343,744,16231,28.81,40112,1560,772
1151,149,231924,15.96,61,33607,425,9735,28.97,23872,1795,674
1152,242,47898,16.18,54,53846,683,14615,27.14,39231,1325,637
1153,252,435150,16.28,56,55738,707,16211,29.08,39527,1680,769
1154,51,10468,16.61,49,11053,134,2583,23.37,8470,1486,676
1155,254,68365,16.16,60,56592,699,16067,28.39,40525,1800,778
1156,295,1785,16.62,57,63883,880,20145,31.53,43738,1448,660
1157,248,4420,16.65,54,53632,701,13873,25.87,39759,1432,625
1158,248,4573,16.82,57,53067,647,15165,28.58,37902,1540,700
1159,251,175005,16.49,58,54800,678,15516,28.31,39284,1760,757
1160,52,10450,16.44,52,11385,129,3187,27.99,8198,1638,678
1161,255,1413,16.11,60,56987,777,20687,36.3,36300,1632,655
1162,296,1663,16.86,56,63201,902,19829,31.37,43372,1629,637
1163,245,193296,16.41,58,53763,747,18670,34.73,35093,2121,693
1164,237,318767,15.86,62,53803,896,14643,27.22,39160,1720,871
1165,179,340557,13.35,57,48282,647,19373,40.12,28909,1560,754
1166,305,52724,17.99,63,61036,854,17670,28.95,43366,1680,928
1167,310,432980,17.92,65,62261,854,18256,29.32,44005,1700,924
1168,213,441457,17.41,61,44038,604,13342,30.3,30696,1800,924
1169,248,4839,16.05,60,55641,758,18088,32.51,37553,1594,683
1170,278,96086,16.53,57,60561,820,17288,28.55,43273,1282,638
1171,283,1850,16.6,58,61362,867,19628,31.99,41734,1368,651
1172,279,95204,16.58,57,60567,867,19375,31.99,41192,1577,677
1173,282,84020,16.23,56,62564,897,19846,31.72,42718,1738,738
1174,167,189592,16.15,56,37220,504,12892,34.64,24328,1434,668
